key,type,type-counts,format,example-value,min-value,max-value,min-len,max-len,use-count,nullable,created,updated,newvalue-errors,boundary-errors,type-errors,reference-errors,text-errors,isReferenceToKey,value-list,value-list-semantics,missing-semantics,null-semantics,description,recommended use,user reference,remarks,rdf
*.boundary-errors,text,{},,,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,Detected min-max transgression errors,,,,
*.created,datetime,"{""datetime"":25}",,2015-07-19T16:48:32.542Z,,,24,24,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,At what moment this key was first found.,,,,
*.description,text,"{""text"":28}",,How many times a boolean-typed value was found in this key,,,,,28,,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,A description for this field,,,,
*.example-value,text,"{""integer"":9,""boolean"":4,""datetime"":1,""text"":10}",,6,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,A captured value example,,,,
*.format,text,{},,,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,-- not used yet,,,,
*.isReferenceToKey,text,"{""text"":1}",,*.key,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,The key of the field that is referenced (targeted) by this field,,,,
*.key,text,"{""text"":28}",,*.count.bytype.boolean,,,,,28,,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,The key of this field: the location (json-path-notation) in the daat-samples where the information is to be found.,,,,
*.max-len,integer,"{""integer"":2}",,28,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,Accepted maximum value of the field.  Or the recorded maximum value for new fields.,,,,
*.max-value,text,"{""datetime"":1,""boolean"":1}",,2015-07-17T07:55:18.147Z,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,Accepted maximum length of the field.  Or the recorded maximum length for new fields.,,,,
*.min-len,integer,"{""integer"":2}",,24,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,Accepted minimum value of the field.  Or the recorded minimum value for new fields.,,,,
*.min-value,text,"{""boolean"":9,""datetime"":1}",,0,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,Accepted minimum length of the field.  Or the recorded minimum length for new fields.,,,,
*.missing-semantics,text,{},,,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,Description of what it means if this field is not present,,,,
*.newvalue-errors,text,{},,,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,Detected values that are not in th reference list,,,,
*.null-semantics,text,{},,,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,Description of what it means if this field bears an empty value,,,,
*.nullable,boolean,"{""boolean"":2}",,TRUE,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,Indicates if empty-values for this key were found.,,,,
*.rdf,text,{},,,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,Indication of how the field should be mapped in an RDF triple,,,,
*.recommended use,text,"{""text"":4}",,Use this field to report boundary-value-errors,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,How the field and its values are intended for typical use,,,,
*.reference-errors,text,{},,,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,Detected values that are not in the target key,,,,
*.remarks,text,{},,,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,Other remarks about this field,,,,
*.text-errors,text,{},,,,,,,28,TRUE,2015-07-28T20:02:06.771Z,2015-07-28T20:02:06.771Z,,,,,,,,,,,Detected textual errors (non-trimmed),,,,
